"term","df","sumsq","meansq","statistic","p.value","model"
"compartment",2,15694839.5139231,7847419.75696155,89.7532510423022,1.00661057475038e-27,"Global (compartment * locus)"
"locus",1,25585933.9756567,25585933.9756567,292.63386264405,1.65879292167505e-39,"Global (compartment * locus)"
"compartment:locus",2,10480111.6624716,5240055.83123581,59.9320618830626,1.18971393968913e-20,"Global (compartment * locus)"
"Residuals",179,15650554.3830837,87433.2647099649,NA,NA,"Global (compartment * locus)"
"compartment",2,370295.016498447,185147.508249224,39.2643535773602,5.96876183013656e-13,"Fungi Only"
"Residuals",89,419671.450892857,4715.4095605939,NA,NA,"Fungi Only"
"compartment",2,26517326.6807124,13258663.3403562,78.3460621386584,1.96754698522453e-20,"Bacteria Only"
"Residuals",90,15230882.9321909,169232.032579898,NA,NA,"Bacteria Only"
