"comparison","diff","lwr","upr","p adj"
"Water-Detritus",-121.69612625538,-189.823491636756,-53.5687608740049,0.000100833133857892
"Inverts-Detritus",-402.353880266076,-493.665539753202,-311.042220778951,9.51128065196372e-13
"Inverts-Water",-280.657754010696,-383.938869099981,-177.37663892141,1.76594261436236e-09
