"comparison","diff","lwr","upr","p adj"
"Water-Detritus",-797.847916666667,-1046.98823734719,-548.707595986146,5.05131270145398e-10
"Inverts-Detritus",-1283.92641129032,-1530.98401772536,-1036.86880485529,4.35370628437681e-10
"Inverts-Water",-486.078494623656,-737.15566995918,-235.001319288131,3.86190131214104e-05
