"Locus","Compartment","estimate","std.error","statistic","p.value","signif_label"
"Fungi","Detritus",-9.91747335392228,3.58883048239496,-2.76342764100242,0.00598004828047792,"**"
"Fungi","Water",-14.3735955247351,4.21184134349787,-3.41266309732314,0.000726515325800917,"***"
"Bacteria","Detritus",10.4809271250546,36.471379306739,0.287374026545742,0.773972564685124,"ns"
"Bacteria","Water",17.0436119422336,31.8117569713392,0.535764558920435,0.592531935317506,"ns"
