"comparison","diff","lwr","upr","p adj"
"Water-Detritus",-12.4231783063172,-18.8263987014287,-6.01995791120572,1.99738951057737e-05
"Inverts-Detritus",-45.3285113540792,-57.3921904288927,-33.2648322792657,0
"Inverts-Water",-32.905333047762,-45.1716064268,-20.639059668724,2.23136387145217e-09
