"Locus","Compartment","Intercept","Slope","R2","p_value","N"
"Fungi","water_volume",0.302537284247,1.79277112321481e-05,0.0568657401794147,0.188728403781511,32
"Fungi","detritus_wt",0.185844695741924,0.00239508979912653,0.0613393969972443,0.171724558591849,32
"Bacteria","water_volume",0.0556579405041563,6.14541222320731e-05,0.325071635900964,0.00100420418000897,30
"Bacteria","detritus_wt",0.20076071238402,0.00363381758215816,0.125081750808121,0.0470600141914765,32
