"term","df","sumsq","meansq","statistic","p.value","model"
"newCompartment",2,5295042.0536036,2647521.0268018,139.325102386952,1.31731961897836e-51,"Global (compartment * locus)"
"locus",1,43799896.504067,43799896.504067,2304.95811107448,6.76115184753977e-223,"Global (compartment * locus)"
"newCompartment:locus",2,1843081.31197637,921540.655988183,48.4958362745818,1.92444637994199e-20,"Global (compartment * locus)"
"Residuals",695,13206716.3928355,19002.4696299792,NA,NA,"Global (compartment * locus)"
"newCompartment",2,56618.4454604351,28309.2227302175,42.3786457194868,2.17665577440775e-17,"Fungi Only"
"Residuals",392,261858.658337034,668.006781472024,NA,NA,"Fungi Only"
"newCompartment",2,4831321.82105707,2415660.91052853,56.5433217500325,1.35586452998302e-21,"Bacteria Only"
"Residuals",303,12944857.7344985,42722.3027541205,NA,NA,"Bacteria Only"
