"comparison","diff","lwr","upr","p adj"
"Water-Detritus",-19.2187500000001,-60.1376578816468,21.7001578816466,0.504655719436332
"Inverts-Detritus",-146.383928571429,-188.739022153969,-104.028834988888,4.03180600017095e-10
"Inverts-Water",-127.165178571429,-169.520272153969,-84.8100849888884,1.07395359272289e-09
