"compartment","bin","r","p","p_signif","bin_start","bin_end"
"fung_det",1,-0.0489,0.101,"",0.15,12.45
"fung_inv",1,0.06,0.252,"",32,998
"fung_water",1,0.0078,0.451,"",32,998
"bact_det",1,-0.0068,0.343,"",0.15,12.45
"bact_inv_water",1,0.0869,0.185,"",32,998
"bact_water",1,0.0332,0.317,"",32,998
"bact_inv_det",1,0.0609,0.344,"",0.15,12.45
